TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00050,7/23/2024,Rice,Groceries,West,Online,1,3450.74,3450.74,Credit Card,C4308
T00051,9/24/2024,Shoes,Clothing,West,Online,1,3829.89,3829.89,UPI,C7316
T00052,2/19/2024,Smartphone,Electronics,West,Offline,3,247.05,741.15,Cash,C8124
T00053,10/12/2024,Conditioner,Beauty,West,Online,2,2549.05,5098.1,Cash,C6070
T00054,7/11/2024,Lamp,Home & Kitchen,South,Online,1,3738.89,3738.89,UPI,C5036
T00055,8/27/2024,Smartphone,Electronics,North,Online,6,4399.25,26395.5,Cash,C2510
T00056,2/8/2024,Coffee,Groceries,South,Online,1,1600.07,1600.07,Net Banking,C7439
T00057,6/12/2024,Smartphone,Electronics,East,Online,4,4218.82,16875.28,Cash,C1649
T00058,4/28/2025,Eggs,Groceries,West,Offline,1,3421.69,3421.69,Net Banking,C4205
T00059,2/25/2024,Lamp,Home & Kitchen,North,Online,3,3977.17,11931.51,Net Banking,C5244
T00060,4/5/2025,Mixer,Home & Kitchen,East,Online,8,958.32,7666.56,Net Banking,C6659
T00061,2/17/2024,Eggs,Groceries,East,Offline,7,2971.41,20799.87,Net Banking,C3645
T00062,1/17/2025,Chair,Home & Kitchen,South,Online,2,4572.76,9145.52,Credit Card,C8517
T00063,3/17/2025,Milk,Groceries,North,Offline,1,1409.4,1409.4,Credit Card,C7383
T00064,4/28/2024,Jacket,Clothing,East,Online,8,3111.76,24894.08,Cash,C6049
T00065,4/4/2024,T-Shirt,Clothing,North,Offline,1,2196.67,2196.67,UPI,C4014
T00066,12/18/2024,Lipstick,Beauty,East,Offline,5,4830.87,24154.35,Net Banking,C7729
T00067,1/21/2024,Lipstick,Beauty,East,Offline,8,2107.34,16858.72,Cash,C1131
T00068,12/22/2024,Conditioner,Beauty,North,Online,7,4187.69,29313.83,UPI,C5893
T00069,2/13/2025,Mixer,Home & Kitchen,East,Online,8,3163.67,25309.36,Cash,C5517
T00070,6/21/2024,Lamp,Home & Kitchen,East,Offline,10,2924.46,29244.6,UPI,C5866
T00071,4/15/2024,Eggs,Groceries,West,Offline,8,2531.28,20250.24,Net Banking,C7255
T00072,7/23/2024,Coffee,Groceries,North,Offline,2,3929.68,7859.36,Cash,C6158
T00073,1/13/2024,Chair,Home & Kitchen,North,Offline,6,2764.95,16589.7,UPI,C4802
T00074,4/12/2025,Smart Watch,Electronics,West,Offline,8,1981.23,15849.84,Credit Card,C3471
T00075,6/6/2024,Headphones,Electronics,North,Offline,9,4767.61,42908.49,Net Banking,C8433
T00076,12/2/2024,Mixer,Home & Kitchen,North,Offline,6,1830.72,10984.32,UPI,C9795
T00077,3/30/2024,Face Wash,Beauty,West,Offline,6,3974.35,23846.1,Cash,C7829
T00078,10/7/2024,Jacket,Clothing,North,Online,4,3289.69,13158.76,Net Banking,C5215
T00079,7/19/2024,Coffee,Groceries,North,Offline,3,3388.21,10164.63,Credit Card,C7188
T00080,10/31/2024,Bread,Groceries,South,Offline,3,407.94,1223.82,Cash,C8444
T00081,3/24/2025,Laptop,Electronics,South,Offline,3,789.34,2368.02,Credit Card,C5756
T00082,8/3/2024,Coffee,Groceries,North,Offline,4,3110.14,12440.56,Credit Card,C4753
T00083,3/17/2024,Shoes,Clothing,West,Offline,8,2554.26,20434.08,Net Banking,C5575
T00084,2/1/2025,Lamp,Home & Kitchen,East,Offline,7,4868.52,34079.64,Net Banking,C3759
T00085,10/8/2024,Chair,Home & Kitchen,West,Online,9,1839.16,16552.44,Cash,C5551
T00086,4/8/2025,Coffee,Groceries,South,Offline,4,4036.97,16147.88,UPI,C9431
T00087,4/13/2025,T-Shirt,Clothing,East,Online,10,209.22,2092.2,UPI,C2113
T00088,9/12/2024,Milk,Groceries,South,Online,4,1229.27,4917.08,Net Banking,C3813
T00089,2/17/2025,Lipstick,Beauty,South,Offline,7,126.71,886.97,Net Banking,C1319
T00090,3/28/2024,Conditioner,Beauty,North,Online,1,1751.29,1751.29,Cash,C5496
T00091,10/25/2024,Cookware Set,Home & Kitchen,East,Offline,2,1295.03,2590.06,UPI,C1244
T00092,10/26/2024,Coffee,Groceries,North,Online,2,1614.09,3228.18,UPI,C7505
T00093,4/15/2025,Lamp,Home & Kitchen,North,Offline,9,2057.54,18517.86,UPI,C3427
T00094,11/27/2024,Milk,Groceries,South,Offline,3,1144.02,3432.06,UPI,C9761
T00095,9/24/2024,Water Bottle,Home & Kitchen,South,Online,5,2312.2,11561,UPI,C8683
T00096,1/12/2025,T-Shirt,Clothing,West,Offline,5,1673.45,8367.25,Net Banking,C6033
T00097,2/9/2025,Hoodie,Clothing,North,Offline,10,2526.86,25268.6,Credit Card,C5672
T00098,3/30/2024,Jeans,Clothing,South,Offline,8,1619.73,12957.84,Credit Card,C4395
T00099,10/16/2024,Perfume,Beauty,South,Offline,5,2088.04,10440.2,Net Banking,C3190
T00100,3/22/2025,Conditioner,Beauty,North,Online,2,3469.17,6938.34,UPI,C5606
T00101,12/30/2024,Tablet,Electronics,West,Offline,2,866.7,1733.4,Cash,C2935
T00102,12/2/2024,Headphones,Electronics,East,Offline,3,758.05,2274.15,Cash,C6852
T00103,10/11/2024,Smart Watch,Electronics,East,Online,5,3191,15955,Cash,C3729
T00104,5/14/2024,Headphones,Electronics,North,Offline,3,1489.94,4469.82,Net Banking,C7990
T00105,12/20/2024,Smart Watch,Electronics,North,Online,9,936.17,8425.53,Credit Card,C8617
T00106,1/6/2025,Conditioner,Beauty,East,Offline,9,282.41,2541.69,UPI,C9737
T00107,1/16/2025,Water Bottle,Home & Kitchen,West,Online,7,960.96,6726.72,Credit Card,C3089
T00108,3/10/2024,Perfume,Beauty,South,Online,2,4800.1,9600.2,Net Banking,C1026
T00109,4/29/2025,Laptop,Electronics,East,Offline,8,3882.76,31062.08,Cash,C3454
T00110,2/9/2025,Cookware Set,Home & Kitchen,South,Offline,8,2616.72,20933.76,Net Banking,C2273
T00111,5/15/2025,Cookware Set,Home & Kitchen,East,Offline,5,3939.98,19699.9,Credit Card,C9314
T00112,3/31/2025,Jacket,Clothing,North,Online,3,4870.16,14610.48,Cash,C9718
T00113,8/30/2024,Eggs,Groceries,North,Offline,2,3240.51,6481.02,Cash,C6227
T00114,4/30/2024,Mixer,Home & Kitchen,North,Online,8,1523.46,12187.68,Credit Card,C5655
T00115,3/11/2024,Water Bottle,Home & Kitchen,West,Online,5,1464.03,7320.15,UPI,C8177
T00116,1/12/2025,Perfume,Beauty,West,Online,2,2671.07,5342.14,UPI,C9012
T00117,9/20/2024,Cookware Set,Home & Kitchen,West,Online,1,1257.78,1257.78,Cash,C1968
T00118,3/13/2024,Smart Watch,Electronics,West,Offline,2,1675.32,3350.64,UPI,C3734
T00119,12/25/2024,Hoodie,Clothing,West,Online,2,1183.56,2367.12,Credit Card,C5321
T00120,2/26/2025,Coffee,Groceries,South,Offline,4,400.1,1600.4,Net Banking,C9363
T00121,10/24/2024,Headphones,Electronics,West,Online,9,4958.53,44626.77,UPI,C2910
T00122,8/27/2024,Shampoo,Beauty,West,Online,7,2173.94,15217.58,Net Banking,C2483
T00123,4/12/2024,Laptop,Electronics,West,Online,8,1144.84,9158.72,Credit Card,C9065
T00124,3/19/2024,Water Bottle,Home & Kitchen,West,Offline,10,2249.4,22494,UPI,C6722
T00125,3/19/2024,Conditioner,Beauty,South,Online,8,1793.87,14350.96,UPI,C8469
T00126,9/28/2024,Lamp,Home & Kitchen,North,Offline,3,1214.98,3644.94,Credit Card,C6766
T00127,2/17/2025,Headphones,Electronics,North,Online,8,256.35,2050.8,Credit Card,C9298
T00128,5/30/2024,Smartphone,Electronics,East,Online,10,3876.3,38763,UPI,C4350
T00129,2/22/2025,Coffee,Groceries,West,Offline,5,3700.74,18503.7,Net Banking,C4699
T00130,12/11/2024,Shampoo,Beauty,West,Online,10,3041.49,30414.9,Net Banking,C6909
T00131,2/6/2025,Smart Watch,Electronics,South,Offline,9,3692.65,33233.85,UPI,C7550
T00132,3/13/2025,Conditioner,Beauty,North,Offline,4,3925.45,15701.8,Credit Card,C5109
T00133,11/20/2024,Jeans,Clothing,North,Online,8,267.36,2138.88,Net Banking,C4201
T00134,2/1/2024,Water Bottle,Home & Kitchen,South,Online,3,4362.79,13088.37,UPI,C5101
T00135,8/24/2024,Lipstick,Beauty,West,Online,7,482.8,3379.6,Cash,C5326
T00136,7/15/2024,Perfume,Beauty,East,Offline,7,2792.78,19549.46,Cash,C3115
T00137,1/7/2024,Shampoo,Beauty,South,Offline,10,3141.83,31418.3,Credit Card,C5377
T00138,4/18/2025,Lamp,Home & Kitchen,East,Offline,2,1261.3,2522.6,Credit Card,C6039
T00139,8/10/2024,Perfume,Beauty,East,Offline,7,436.54,3055.78,Cash,C2081
T00140,8/18/2024,Shoes,Clothing,East,Offline,8,1713.15,13705.2,UPI,C8803
T00141,5/28/2024,Shoes,Clothing,West,Offline,10,2359.93,23599.3,Net Banking,C8556
T00142,8/10/2024,Hoodie,Clothing,West,Offline,8,2938.12,23504.96,UPI,C8731
T00143,4/19/2024,Cookware Set,Home & Kitchen,West,Offline,7,3344.78,23413.46,Cash,C2816
T00144,10/9/2024,Chair,Home & Kitchen,West,Offline,4,3861.44,15445.76,UPI,C6338
T00145,3/15/2024,Coffee,Groceries,North,Offline,1,4637.25,4637.25,UPI,C4114
T00146,3/5/2025,Smartphone,Electronics,East,Online,3,3504.84,10514.52,Net Banking,C3978
T00147,1/10/2025,Conditioner,Beauty,West,Online,6,2977.02,17862.12,Cash,C6817
T00148,1/4/2025,Tablet,Electronics,West,Online,7,2943.65,20605.55,Credit Card,C8340
T00149,4/2/2025,Face Wash,Beauty,South,Online,6,4231.3,25387.8,Credit Card,C3990
T00150,2/28/2025,Cookware Set,Home & Kitchen,West,Online,5,2354.26,11771.3,Net Banking,C7076
T00151,6/27/2024,Lamp,Home & Kitchen,North,Offline,4,4080.72,16322.88,Net Banking,C2830
T00152,6/27/2024,Jeans,Clothing,South,Online,2,4067.78,8135.56,UPI,C6115
T00153,4/6/2024,Perfume,Beauty,South,Online,2,1542.27,3084.54,Net Banking,C5250
T00154,2/24/2025,T-Shirt,Clothing,North,Offline,4,4777.61,19110.44,Credit Card,C1585
T00155,10/31/2024,Chair,Home & Kitchen,North,Online,5,2095.67,10478.35,Credit Card,C6616
T00156,3/31/2024,Bread,Groceries,East,Online,7,2104.08,14728.56,Credit Card,C3050
T00157,3/2/2025,Laptop,Electronics,South,Offline,2,2353.51,4707.02,Net Banking,C6224
T00158,6/27/2024,Smart Watch,Electronics,North,Offline,1,1266.51,1266.51,Cash,C3401
T00159,4/16/2025,Milk,Groceries,North,Online,1,1845.16,1845.16,UPI,C8878
T00160,3/21/2024,Bread,Groceries,East,Online,9,4455.85,40102.65,UPI,C7724
T00161,7/5/2024,Chair,Home & Kitchen,West,Offline,2,4234.59,8469.18,UPI,C7044
T00162,4/18/2024,Bread,Groceries,West,Online,8,3566.87,28534.96,Cash,C1737
T00163,10/21/2024,T-Shirt,Clothing,South,Offline,3,705.69,2117.07,Net Banking,C2096
T00164,7/10/2024,Bread,Groceries,East,Offline,6,3740.14,22440.84,Cash,C9235
T00165,1/7/2025,Tablet,Electronics,South,Offline,1,1641.61,1641.61,UPI,C2637
T00166,11/12/2024,Water Bottle,Home & Kitchen,West,Offline,10,1752.62,17526.2,Net Banking,C1069
T00167,1/3/2025,Rice,Groceries,North,Online,8,3410.57,27284.56,UPI,C8384
T00168,9/18/2024,Shoes,Clothing,North,Offline,3,4098.12,12294.36,Cash,C9386
T00169,5/9/2024,Headphones,Electronics,North,Online,2,2463.68,4927.36,UPI,C9001
T00170,5/5/2024,Water Bottle,Home & Kitchen,West,Offline,3,422.94,1268.82,Cash,C8758
T00171,8/2/2024,Milk,Groceries,East,Online,7,343.87,2407.09,UPI,C6420
T00172,7/3/2024,Smartphone,Electronics,South,Offline,9,2953.39,26580.51,Net Banking,C7668
T00173,12/30/2024,Tablet,Electronics,West,Online,9,1738.4,15645.6,Credit Card,C5637
T00174,11/21/2024,Shoes,Clothing,West,Offline,3,2652.62,7957.86,Net Banking,C1425
T00175,4/29/2024,Bread,Groceries,West,Online,9,1073.54,9661.86,UPI,C1395
T00176,9/23/2024,Jacket,Clothing,West,Offline,5,4016.9,20084.5,Credit Card,C9789
T00177,7/20/2024,Milk,Groceries,East,Offline,8,2920.51,23364.08,Net Banking,C2080
T00178,4/12/2025,Mixer,Home & Kitchen,South,Online,10,2921.89,29218.9,Cash,C3531
T00179,10/2/2024,Rice,Groceries,North,Offline,4,2125.87,8503.48,Net Banking,C7928
T00180,7/6/2024,Jacket,Clothing,West,Online,7,851.38,5959.66,Net Banking,C2169
T00181,3/31/2024,Mixer,Home & Kitchen,East,Offline,7,1192.91,8350.37,Credit Card,C9763
T00182,3/28/2024,Conditioner,Beauty,East,Online,9,1378.14,12403.26,Cash,C6330
T00183,6/11/2024,Conditioner,Beauty,West,Online,9,4227.84,38050.56,Credit Card,C5043
T00184,10/2/2024,Milk,Groceries,South,Online,10,1785.54,17855.4,Credit Card,C2799
T00185,6/2/2024,Perfume,Beauty,West,Online,2,3813.53,7627.06,Credit Card,C2433
T00186,1/1/2024,Headphones,Electronics,East,Online,10,3268.72,32687.2,UPI,C7891
T00187,10/6/2024,Chair,Home & Kitchen,North,Online,2,1334.49,2668.98,UPI,C3060
T00188,1/3/2024,Jacket,Clothing,East,Online,5,3218.66,16093.3,Net Banking,C7300
T00189,1/30/2025,Laptop,Electronics,East,Offline,2,3159.97,6319.94,Net Banking,C9296
T00190,5/7/2024,Headphones,Electronics,South,Offline,3,3897.72,11693.16,UPI,C2957
T00191,10/10/2024,Bread,Groceries,West,Offline,1,3250.54,3250.54,UPI,C8182
T00192,1/22/2024,Rice,Groceries,West,Offline,2,751.1,1502.2,Credit Card,C2515
T00193,4/28/2025,Tablet,Electronics,North,Online,4,4254.42,17017.68,Net Banking,C5740
T00194,10/3/2024,Shoes,Clothing,South,Offline,8,4785.61,38284.88,Credit Card,C1050
T00195,2/27/2024,Conditioner,Beauty,East,Offline,10,4398.66,43986.6,Net Banking,C2912
T00196,5/22/2024,Tablet,Electronics,North,Offline,5,3589.6,17948,Net Banking,C9873
T00197,8/20/2024,Face Wash,Beauty,West,Offline,6,4478.36,26870.16,Net Banking,C8769
T00198,3/6/2024,Smartphone,Electronics,East,Online,7,4269.61,29887.27,UPI,C2573
T00199,6/13/2024,Mixer,Home & Kitchen,West,Offline,6,3080.32,18481.92,Net Banking,C6515
T00200,1/29/2025,Eggs,Groceries,South,Offline,10,1846.98,18469.8,UPI,C3899
T00201,8/9/2024,Perfume,Beauty,West,Offline,1,3615.91,3615.91,Credit Card,C1345
T00202,4/13/2024,Lamp,Home & Kitchen,South,Offline,5,1499.22,7496.1,Cash,C8387
T00203,5/13/2025,Face Wash,Beauty,South,Online,3,2619.31,7857.93,UPI,C5298
T00204,9/3/2024,Water Bottle,Home & Kitchen,South,Online,7,221.19,1548.33,Net Banking,C2779
T00205,2/9/2025,Jeans,Clothing,West,Online,1,3429.09,3429.09,Cash,C1993
T00206,1/1/2024,Conditioner,Beauty,South,Online,6,711.84,4271.04,Net Banking,C4847
T00207,3/31/2025,Smartphone,Electronics,South,Offline,5,3249.42,16247.1,Cash,C1791
T00208,8/16/2024,Conditioner,Beauty,South,Offline,8,2283.51,18268.08,Credit Card,C1925
T00209,12/16/2024,Bread,Groceries,South,Online,2,3161.38,6322.76,Cash,C8345
T00210,4/25/2025,Smartphone,Electronics,West,Online,3,867.37,2602.11,Net Banking,C8168
T00211,4/8/2024,Chair,Home & Kitchen,North,Online,10,817.21,8172.1,Net Banking,C6679
T00212,12/15/2024,Perfume,Beauty,West,Online,8,1426.09,11408.72,UPI,C3024
T00213,1/3/2024,Perfume,Beauty,North,Online,7,4463.74,31246.18,Net Banking,C7243
T00214,2/9/2024,Milk,Groceries,North,Online,6,4338.62,26031.72,Cash,C7931
T00215,10/21/2024,Water Bottle,Home & Kitchen,North,Online,3,3695.4,11086.2,UPI,C2156
T00216,11/23/2024,Coffee,Groceries,South,Offline,4,1474.97,5899.88,Credit Card,C5512
T00217,5/8/2024,Smart Watch,Electronics,South,Offline,7,3881.32,27169.24,UPI,C8417
T00218,10/27/2024,Tablet,Electronics,East,Online,7,2790.52,19533.64,Credit Card,C5539
T00219,7/13/2024,Lipstick,Beauty,East,Online,9,4523.1,40707.9,Credit Card,C4252
T00220,9/17/2024,Shoes,Clothing,North,Online,2,2956.88,5913.76,Net Banking,C7203
T00221,3/29/2024,Lamp,Home & Kitchen,West,Offline,2,4807.59,9615.18,Credit Card,C4466
T00222,10/24/2024,Jeans,Clothing,South,Online,1,382.91,382.91,Credit Card,C4664
T00223,8/2/2024,Eggs,Groceries,West,Online,4,4672.99,18691.96,Credit Card,C7917
T00224,4/25/2025,Conditioner,Beauty,East,Online,10,1783.35,17833.5,Credit Card,C3290
T00225,9/25/2024,Jacket,Clothing,North,Online,10,1064.57,10645.7,Credit Card,C3349
T00226,1/13/2025,Headphones,Electronics,North,Offline,8,3892.21,31137.68,Credit Card,C6661
T00227,11/28/2024,Conditioner,Beauty,South,Online,2,3020.25,6040.5,Credit Card,C8196
T00228,10/14/2024,T-Shirt,Clothing,North,Offline,9,4810.55,43294.95,UPI,C5290
T00229,2/16/2025,Coffee,Groceries,North,Offline,6,4946.54,29679.24,Net Banking,C1797
T00230,6/8/2024,Jeans,Clothing,East,Online,5,2631.98,13159.9,Cash,C8036
T00231,2/14/2024,Mixer,Home & Kitchen,North,Online,6,638.58,3831.48,Net Banking,C4174
T00232,11/10/2024,Tablet,Electronics,South,Offline,4,4985.78,19943.12,UPI,C7126
T00233,3/30/2025,Coffee,Groceries,East,Online,9,2900.15,26101.35,Cash,C6061
T00234,11/1/2024,Laptop,Electronics,West,Offline,1,1266.39,1266.39,Credit Card,C4246
T00235,1/9/2025,Face Wash,Beauty,South,Offline,4,1923.68,7694.72,Credit Card,C9461
T00236,7/9/2024,Rice,Groceries,West,Online,4,3162.23,12648.92,UPI,C4490
T00237,2/12/2024,Milk,Groceries,West,Online,7,278.61,1950.27,UPI,C2205
T00238,1/2/2025,Jeans,Clothing,North,Online,3,2475.15,7425.45,Net Banking,C6517
T00239,4/24/2024,Coffee,Groceries,East,Offline,10,825.34,8253.4,Net Banking,C4126
T00240,1/31/2024,Mixer,Home & Kitchen,West,Online,8,4469.99,35759.92,Credit Card,C8734
T00241,2/22/2024,Shampoo,Beauty,North,Online,7,3765.65,26359.55,Cash,C1213
T00242,1/20/2024,Coffee,Groceries,South,Offline,7,1624.5,11371.5,UPI,C3390
T00243,1/22/2024,Water Bottle,Home & Kitchen,West,Online,5,816.49,4082.45,UPI,C7053
T00244,5/30/2024,Smartphone,Electronics,West,Online,3,318.06,954.18,Cash,C6723
T00245,4/10/2024,Laptop,Electronics,North,Online,7,3788.08,26516.56,Cash,C5041
T00246,10/24/2024,Tablet,Electronics,North,Online,9,1124.51,10120.59,Cash,C3062
T00247,1/2/2024,Lipstick,Beauty,West,Online,5,954.57,4772.85,Cash,C3993
T00248,5/5/2025,Milk,Groceries,South,Offline,9,2705.94,24353.46,Credit Card,C3404
T00249,5/11/2024,Lamp,Home & Kitchen,West,Online,10,213.33,2133.3,Credit Card,C2334
T00250,8/18/2024,Rice,Groceries,West,Online,9,3681.51,33133.59,Net Banking,C4643
T00251,4/25/2025,Face Wash,Beauty,East,Offline,6,4432.71,26596.26,UPI,C7325
T00252,2/28/2024,Lamp,Home & Kitchen,East,Offline,6,1216.01,7296.06,Cash,C2079
T00253,7/12/2024,Bread,Groceries,South,Online,2,396.42,792.84,UPI,C6316
T00254,3/25/2025,Chair,Home & Kitchen,South,Offline,9,4346.59,39119.31,UPI,C7149
T00255,2/27/2024,Smart Watch,Electronics,West,Online,7,4623.57,32364.99,Net Banking,C9062
T00256,1/24/2024,Smart Watch,Electronics,West,Online,9,4915.7,44241.3,Credit Card,C8113
T00257,3/6/2025,Shampoo,Beauty,North,Offline,5,3304.67,16523.35,UPI,C8123
T00258,9/11/2024,Headphones,Electronics,South,Offline,3,4642.42,13927.26,Credit Card,C3150
T00259,8/13/2024,Lamp,Home & Kitchen,East,Online,4,2005.12,8020.48,Credit Card,C8548
T00260,4/30/2024,Tablet,Electronics,West,Online,1,4923.59,4923.59,Credit Card,C3446
T00261,2/4/2025,Shoes,Clothing,West,Online,1,895.41,895.41,UPI,C6000
T00262,4/16/2025,Bread,Groceries,West,Offline,3,458.23,1374.69,Net Banking,C8217
T00263,1/31/2025,Lipstick,Beauty,East,Online,8,1174.24,9393.92,Cash,C7709
T00264,4/8/2025,Shampoo,Beauty,South,Online,3,687.85,2063.55,Credit Card,C4634
T00265,1/6/2024,Eggs,Groceries,North,Offline,6,4239.02,25434.12,UPI,C3056
T00266,12/16/2024,Rice,Groceries,North,Offline,8,4151.43,33211.44,Net Banking,C5042
T00267,11/26/2024,Cookware Set,Home & Kitchen,South,Online,4,2071.98,8287.92,Net Banking,C1781
T00268,2/20/2024,Shoes,Clothing,East,Online,8,3806.19,30449.52,Credit Card,C3342
T00269,10/9/2024,Conditioner,Beauty,East,Online,3,1824.33,5472.99,Cash,C7150
T00270,10/19/2024,Hoodie,Clothing,East,Offline,6,4825.95,28955.7,Net Banking,C1355
T00271,5/3/2024,Cookware Set,Home & Kitchen,South,Online,9,4763.81,42874.29,Cash,C1781
T00272,12/30/2024,Shampoo,Beauty,South,Offline,2,2083.17,4166.34,UPI,C3681
T00273,7/25/2024,Coffee,Groceries,South,Offline,7,846.32,5924.24,Cash,C1579
T00274,9/27/2024,Lipstick,Beauty,North,Online,3,2303.56,6910.68,Credit Card,C2231
T00275,10/24/2024,Conditioner,Beauty,East,Online,9,2955.76,26601.84,Cash,C7122
T00276,5/28/2024,Perfume,Beauty,South,Offline,2,1054.19,2108.38,Credit Card,C5387
T00277,3/30/2024,Milk,Groceries,North,Offline,6,4244.86,25469.16,Cash,C5287
T00278,3/6/2024,Conditioner,Beauty,South,Online,2,2911.52,5823.04,UPI,C6057
T00279,10/24/2024,Jeans,Clothing,East,Online,4,2373.46,9493.84,Net Banking,C6053
T00280,12/23/2024,Rice,Groceries,East,Online,5,4283.15,21415.75,Cash,C5905
T00281,5/3/2024,Headphones,Electronics,West,Offline,9,1737.31,15635.79,Net Banking,C8578
T00282,10/15/2024,Conditioner,Beauty,South,Offline,6,4061.56,24369.36,UPI,C4132
T00283,6/5/2024,Lipstick,Beauty,South,Online,1,4350.01,4350.01,Cash,C8412
T00284,11/18/2024,Headphones,Electronics,North,Online,4,4055.86,16223.44,UPI,C9976
T00285,2/20/2025,T-Shirt,Clothing,West,Offline,9,4490.26,40412.34,Cash,C3741
T00286,12/20/2024,Rice,Groceries,North,Online,7,2456.82,17197.74,Net Banking,C7201
