Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
STU1072,19,84,71,71,19.6,1
STU1073,21,67,71,61,15.5,1
STU1074,19,44,37,53,3.7,0
STU1075,20,37,58,52,7.4,0
STU1076,16,62,73,58,16.9,1
STU1077,20,53,59,61,11.3,1
STU1078,16,97,88,78,24.1,1
STU1079,17,51,51,51,6.2,1
STU1080,20,37,48,47,4.4,0
STU1081,15,59,71,73,12.5,1
STU1082,20,82,82,75,22.0,1
STU1083,15,57,50,55,6.7,1
STU1084,16,45,59,62,9.1,1
STU1085,20,46,40,57,8.3,0
STU1086,21,33,61,52,3.6,0
STU1087,21,47,51,51,5.4,0
STU1088,16,84,92,76,24.6,1
STU1089,21,60,67,54,10.8,1
STU1090,18,79,65,82,16.9,1
STU1091,16,76,87,70,19.2,1
STU1092,15,46,44,49,3.1,0
STU1093,21,38,47,53,6.1,0
STU1094,16,58,57,59,12.6,1
STU1095,20,92,83,72,24.1,1
STU1096,15,91,88,81,24.5,1
STU1097,19,81,80,68,19.1,1
STU1098,21,87,89,72,18.6,1
STU1099,18,39,51,48,2.8,0
STU1100,21,78,53,64,14.4,1
STU1101,20,90,73,78,22.0,1
STU1102,21,72,77,77,20.5,1
STU1103,21,66,70,74,16.7,1
STU1104,19,57,52,60,7.1,1
STU1105,18,38,47,52,4.7,0
STU1106,20,46,50,50,5.6,0
STU1107,16,100,78,72,21.7,1
STU1108,21,74,72,75,21.0,1
STU1109,21,80,86,71,22.0,1
STU1110,16,49,41,52,4.5,0
STU1111,17,48,50,54,3.2,1
STU1112,15,53,65,63,12.4,1
STU1113,18,81,84,80,21.5,1
STU1114,16,35,47,48,3.5,0
STU1115,15,66,87,78,20.2,1
STU1116,16,66,65,58,11.5,1
STU1117,16,73,66,73,17.8,1
STU1118,16,69,66,61,14.8,1
STU1119,21,57,53,55,11.7,1
STU1120,21,51,54,54,4.5,1
STU1121,15,76,63,65,16.0,1
STU1122,16,66,69,68,15.0,1
STU1123,18,56,72,61,12.4,1
STU1124,19,50,56,56,12.2,1
STU1125,18,63,78,62,14.1,1
STU1126,18,70,80,73,19.2,1
STU1127,20,67,80,70,16.7,1
STU1128,18,74,81,72,21.4,1
STU1129,17,64,78,76,19.9,1
STU1130,21,68,74,69,16.8,1
STU1131,20,88,93,78,23.3,1
STU1132,15,70,65,56,12.8,1
STU1133,15,45,45,47,3.3,0
STU1134,20,51,60,55,6.3,1
STU1135,20,60,57,58,12.1,1
STU1136,17,70,74,64,17.6,1
STU1137,20,77,57,68,11.0,1
STU1138,20,93,80,85,24.9,1
STU1139,21,60,57,66,13.2,1
STU1140,18,34,63,54,5.5,0
STU1141,17,68,64,68,17.6,1
STU1142,17,76,87,89,24.2,1
STU1143,19,70,59,71,14.1,1
STU1144,15,75,73,69,18.4,1
STU1145,17,60,64,58,7.4,1
STU1146,17,83,88,87,23.1,1
STU1147,15,61,59,51,7.9,1
STU1148,17,36,50,57,4.8,0
STU1149,19,40,38,49,2.4,0
STU1150,18,53,54,53,6.3,1
STU1151,21,68,70,71,12.8,1
STU1152,17,43,58,51,5.1,1
STU1153,16,48,44,57,3.5,0
STU1154,21,54,62,63,14.5,1
STU1155,17,59,69,53,12.0,1
STU1156,17,87,86,82,23.3,1
STU1157,19,47,52,59,8.8,1
STU1158,18,59,68,63,10.1,1
STU1159,15,36,48,51,4.9,0
STU1160,16,62,64,68,14.2,1
STU1161,18,88,87,67,23.0,1
STU1162,15,87,79,71,20.6,1
STU1163,20,94,84,74,23.3,1
STU1164,21,60,45,57,13.4,1
STU1165,20,77,73,59,18.5,1
STU1166,21,71,60,65,14.7,1
STU1167,16,59,62,60,9.4,1
STU1168,16,72,74,68,16.4,1
STU1169,19,83,79,73,18.6,1
STU1170,20,52,54,52,6.8,1
STU1171,21,71,65,69,17.8,1
STU1172,19,53,57,48,5.3,1
STU1173,19,63,65,60,14.9,1
STU1174,18,78,89,69,21.9,1
STU1175,18,82,76,88,24.2,1
STU1176,18,47,54,57,8.6,1
STU1177,17,43,49,56,3.7,0
STU1178,21,90,77,78,24.7,1
STU1179,15,42,48,52,5.2,0
STU1180,19,52,66,58,9.3,1
STU1181,18,62,70,79,18.3,1
STU1182,20,72,72,60,16.5,1
STU1183,19,80,59,66,16.5,1
STU1184,20,49,50,61,6.7,1
STU1185,19,43,53,52,6.8,0
STU1186,21,94,77,81,22.0,1
STU1187,17,58,50,57,7.2,1
STU1188,17,61,72,64,14.9,1
STU1189,21,76,82,73,20.5,1
STU1190,18,55,53,59,6.9,1
STU1191,16,38,53,49,3.2,0
STU1192,17,74,47,59,9.4,1
STU1193,15,95,82,77,23.0,1
STU1194,17,52,62,53,8.5,1
STU1195,16,82,68,65,18.8,1
STU1196,16,56,47,51,6.0,1
STU1197,17,57,56,60,10.8,1
STU1198,17,70,74,72,17.9,1
STU1199,15,80,71,75,16.7,1
STU1200,20,66,69,56,14.6,1
STU1201,21,79,60,77,20.1,1
STU1202,19,42,45,53,5.4,0
STU1203,19,59,65,59,12.2,1
STU1204,18,52,61,65,9.9,1
STU1205,21,84,82,76,23.1,1
STU1206,18,71,64,61,14.2,1
STU1207,15,38,52,59,7.5,0
STU1208,15,55,61,70,11.3,1
STU1209,17,86,67,67,15.3,1
STU1210,20,88,82,80,23.0,1
STU1211,18,57,62,55,11.4,1
STU1212,15,61,59,62,14.9,1
STU1213,20,78,72,64,15.9,1
STU1214,20,37,51,49,4.7,0
STU1215,17,40,55,65,9.1,1
STU1216,17,82,84,73,23.0,1
STU1217,19,67,66,72,15.3,1
STU1218,20,78,84,81,23.7,1
STU1219,20,65,77,74,20.3,1
STU1220,15,67,62,64,14.1,1
STU1221,20,75,72,69,17.3,1
STU1222,19,76,75,61,18.6,1
STU1223,16,37,52,49,4.5,0
STU1224,18,52,51,63,12.6,1
STU1225,18,59,60,65,10.7,1
STU1226,21,94,88,80,24.4,1
STU1227,16,90,88,68,23.4,1
STU1228,17,72,62,63,10.8,1
STU1229,15,67,58,56,12.1,1
STU1230,18,61,67,68,13.3,1
STU1231,20,38,50,48,3.7,0
STU1232,15,36,41,43,2.1,0
STU1233,19,66,57,73,13.8,1
STU1234,19,78,78,76,22.8,1
STU1235,18,42,60,58,8.3,1
STU1236,16,62,63,55,9.0,1
STU1237,21,85,74,77,20.9,1
STU1238,16,96,89,79,24.2,1
STU1239,18,58,61,44,8.4,1
STU1240,21,72,75,74,17.9,1
STU1241,21,57,62,59,10.7,1
STU1242,17,84,66,62,18.1,1
STU1243,19,92,86,75,24.6,1
STU1244,19,70,65,70,14.8,1
STU1245,16,50,58,58,9.9,1
STU1246,18,75,67,71,18.6,1
STU1247,17,74,67,67,14.9,1
STU1248,15,85,75,68,19.0,1
STU1249,20,85,75,74,20.6,1
STU1250,19,57,57,51,10.9,1
STU1251,21,55,54,60,8.8,1
STU1252,18,71,69,63,15.7,1
STU1253,17,42,42,52,5.2,0
STU1254,20,68,57,66,13.3,1
STU1255,15,53,54,61,8.3,1
STU1256,15,62,79,65,15.2,1
STU1257,18,60,47,56,4.4,1
STU1258,15,61,79,77,19.8,1
STU1259,16,79,71,63,16.2,1
STU1260,21,64,59,66,13.8,1
STU1261,16,92,78,71,18.4,1
STU1262,18,63,68,65,10.6,1
STU1263,18,66,56,57,9.5,1
STU1264,19,59,56,67,11.1,1
STU1265,15,53,39,42,4.9,0
STU1266,16,81,86,83,22.1,1
STU1267,18,72,63,68,17.1,1
STU1268,15,43,50,58,7.3,1
STU1269,15,63,68,62,14.2,1
STU1270,21,47,57,56,7.0,1
STU1271,19,75,82,69,15.8,1
STU1272,19,64,77,70,16.0,1
STU1273,18,45,61,52,4.6,1
STU1274,20,20,40,52,6.0,0
STU1275,20,61,56,65,13.5,1
STU1276,17,37,50,53,3.8,0
STU1277,17,92,73,71,18.1,1
STU1278,20,72,73,65,17.1,1
STU1279,20,84,78,72,20.0,1
STU1280,18,78,83,69,21.8,1
STU1281,16,61,53,44,6.1,1
STU1282,19,58,51,47,10.6,1
STU1283,17,42,37,53,4.0,0
STU1284,17,68,73,59,15.6,1
STU1285,16,72,59,68,14.5,1
STU1286,20,66,70,73,18.7,1
STU1287,16,85,72,61,22.6,1
STU1288,16,46,53,56,8.7,1
STU1289,15,63,62,74,14.3,1
STU1290,20,55,78,61,15.9,1
STU1291,21,80,85,75,24.8,1
STU1292,21,83,73,64,20.3,1
STU1293,21,52,50,56,3.7,1
STU1294,20,54,56,61,11.1,1
STU1295,17,73,58,61,13.5,1
STU1296,21,73,71,65,14.1,1
STU1297,19,63,63,65,13.6,1
STU1298,16,74,73,71,24.4,1
STU1299,21,43,55,56,6.0,1
STU1300,17,89,92,75,23.8,1
STU1301,15,43,45,54,3.3,0
STU1302,17,88,73,68,18.5,1
STU1303,16,74,75,75,18.8,1
STU1304,19,71,73,74,20.1,1
STU1305,20,45,44,39,2.0,0
STU1306,19,63,66,54,7.1,1
STU1307,16,65,76,69,17.9,1
STU1308,16,83,82,74,22.3,1
STU1309,20,71,70,76,19.4,1
STU1310,15,70,67,69,14.6,1
STU1311,15,65,65,59,9.6,1
STU1312,17,38,58,53,7.5,0
STU1313,17,83,74,74,20.9,1
STU1314,21,59,51,58,11.1,1
STU1315,17,44,63,63,12.1,1
STU1316,20,73,60,57,9.9,1
STU1317,21,87,81,79,23.5,1
STU1318,19,75,76,72,17.6,1
STU1319,18,46,51,51,3.8,0
STU1320,20,77,82,73,23.0,1
STU1321,21,45,47,41,2.3,0
STU1322,19,78,72,69,19.4,1
STU1323,18,74,66,72,17.1,1
STU1324,18,48,34,46,2.9,0
STU1325,18,78,92,69,21.7,1
STU1326,19,67,84,74,16.8,1
STU1327,16,46,52,50,3.5,0
STU1328,21,41,47,53,6.6,0
STU1329,15,67,59,69,17.7,1
STU1330,17,50,49,70,5.8,1
STU1331,21,46,56,57,7.1,1
STU1332,16,73,59,70,16.9,1
STU1333,18,81,76,77,21.6,1
STU1334,15,77,62,65,13.8,1
STU1335,15,61,62,64,13.1,1
STU1336,19,87,82,77,19.6,1
STU1337,17,51,56,58,8.0,1
STU1338,19,66,69,60,16.7,1
STU1339,19,33,55,56,6.2,0
STU1340,15,42,50,54,7.1,0
STU1341,15,100,81,74,21.9,1
STU1342,15,81,81,81,22.0,1
STU1343,16,67,68,62,13.3,1
STU1344,16,82,78,76,18.8,1
STU1345,15,60,65,53,10.8,1
STU1346,19,63,66,64,14.1,1
STU1347,20,66,77,67,17.0,1
STU1348,19,55,53,56,7.8,1
STU1349,20,50,52,49,5.2,1
STU1350,17,90,78,79,21.1,1
STU1351,20,98,85,73,23.5,1
STU1352,16,57,62,64,12.5,1
STU1353,18,77,83,73,24.0,1
STU1354,18,44,64,59,8.3,1
STU1355,20,75,73,77,18.7,1
STU1356,21,66,67,64,17.7,1
STU1357,20,76,74,68,14.1,1
STU1358,18,68,75,75,17.2,1
STU1359,19,44,46,42,3.3,0
STU1360,18,71,80,74,20.8,1
STU1361,18,67,65,79,19.1,1
STU1362,20,81,67,68,17.4,1
STU1363,19,73,69,63,15.8,1
STU1364,21,55,43,59,8.7,1
STU1365,19,43,56,53,6.5,1
STU1366,19,46,56,53,5.1,1
STU1367,16,60,75,75,17.9,1
STU1368,19,90,83,74,23.1,1
STU1369,20,74,58,64,13.8,1
STU1370,16,67,71,66,16.4,1
STU1371,17,85,74,73,14.9,1
STU1372,21,59,56,63,11.7,1
STU1373,15,64,79,59,17.9,1
STU1374,21,77,72,78,18.0,1
STU1375,19,45,45,53,3.2,0
STU1376,17,79,74,74,19.4,1
STU1377,16,72,86,77,18.9,1
STU1378,21,72,65,67,17.2,1
STU1379,16,69,67,53,14.0,1
STU1380,20,53,63,61,9.6,1
STU1381,20,73,68,71,16.1,1
STU1382,21,64,68,64,13.7,1
STU1383,16,72,74,71,17.4,1
STU1384,18,70,82,70,18.5,1
STU1385,17,44,48,53,2.4,0
STU1386,20,78,73,76,21.5,1
STU1387,18,53,73,64,10.8,1
STU1388,20,59,51,54,5.3,1
STU1389,15,51,60,53,9.0,1
STU1390,21,38,55,57,7.8,0
STU1391,15,59,54,58,8.7,1
STU1392,19,35,41,51,3.6,0
STU1393,19,54,48,56,10.4,1
STU1394,16,69,70,69,17.6,1
STU1395,20,60,60,65,16.0,1
STU1396,15,65,66,74,14.7,1
STU1397,17,46,52,45,5.1,0
STU1398,19,72,67,63,17.2,1
STU1399,15,74,59,70,17.4,1
STU1400,19,60,73,66,16.6,1
STU1401,19,80,58,69,17.0,1
STU1402,21,55,59,55,9.9,1
STU1403,19,69,86,70,18.5,1
STU1404,16,72,66,67,15.6,1
STU1405,19,42,42,49,2.9,0
STU1406,20,67,74,67,18.7,1
STU1407,16,84,80,76,20.3,1
STU1408,18,61,72,76,15.7,1
STU1409,19,43,48,50,4.2,0
STU1410,19,70,60,68,14.4,1
STU1411,21,68,73,62,13.1,1
STU1412,21,57,60,46,7.3,1
STU1413,21,40,42,52,2.2,0
STU1414,15,49,56,51,5.6,1
STU1415,20,51,61,61,11.1,1
STU1416,17,74,63,59,15.3,1
STU1417,21,58,61,65,9.8,1
STU1418,15,48,52,50,8.1,1
STU1419,15,59,54,51,6.6,1
STU1420,15,50,56,58,10.3,1
STU1421,15,61,82,76,18.9,1
STU1422,19,87,86,78,24.2,1
STU1423,15,88,81,73,20.5,1
STU1424,19,82,75,67,21.8,1
STU1425,21,66,54,66,9.3,1
STU1426,15,61,61,55,14.8,1
STU1427,16,51,70,60,13.5,1
STU1428,19,61,59,64,10.2,1
STU1429,17,72,62,64,13.3,1
STU1430,21,47,67,54,11.7,1
STU1431,17,75,75,70,17.9,1
STU1432,18,85,84,82,24.0,1
STU1433,18,49,56,52,8.4,1
STU1434,16,72,79,65,14.8,1
STU1435,18,65,69,65,13.5,1
STU1436,18,39,32,47,4.3,0
STU1437,19,89,79,77,23.4,1
STU1438,15,51,56,64,10.8,1
STU1439,20,58,63,62,16.1,1
STU1440,20,55,51,53,8.2,1
STU1441,18,68,70,54,11.5,1
STU1442,21,77,85,83,24.9,1
STU1443,16,60,46,48,5.0,1
STU1444,20,68,65,68,14.4,1
STU1445,18,73,65,62,14.4,1
STU1446,15,73,65,76,17.8,1
STU1447,21,37,45,37,2.2,0
STU1448,18,77,82,81,21.1,1
STU1449,20,63,79,73,17.7,1
STU1450,17,43,52,49,4.5,0
STU1451,19,48,37,45,2.5,0
STU1452,18,87,76,82,25.0,1
STU1453,18,54,50,43,6.2,0
STU1454,15,76,69,60,14.0,1
STU1455,15,77,76,70,19.1,1
STU1456,20,37,51,52,7.0,0
STU1457,21,59,49,58,7.6,1
STU1458,21,82,66,79,16.4,1
STU1459,18,67,78,72,18.9,1
STU1460,18,43,55,54,6.4,1
STU1461,16,70,61,62,12.3,1
STU1462,15,66,68,59,16.3,1
STU1463,21,69,69,65,14.7,1
STU1464,21,81,82,80,23.6,1
STU1465,15,59,65,58,10.4,1
STU1466,15,65,65,57,12.8,1
STU1467,15,76,75,72,18.7,1
STU1468,20,80,70,68,14.8,1
STU1469,15,41,49,51,5.8,0
STU1470,17,79,85,70,21.4,1
STU1471,18,84,85,69,19.6,1
STU1472,17,66,72,68,15.7,1
STU1473,19,38,44,53,5.6,0
STU1474,21,56,53,54,8.9,1
STU1475,18,86,90,68,21.0,1
STU1476,19,42,50,61,10.8,1
STU1477,19,41,45,47,2.9,0
STU1478,19,59,72,63,15.2,1
STU1479,20,40,45,45,3.1,0
STU1480,19,46,52,50,6.6,0
STU1481,20,84,79,71,23.3,1
STU1482,17,81,74,63,16.2,1
STU1483,21,47,49,54,4.0,1
STU1484,17,66,74,70,18.0,1
STU1485,18,74,79,65,16.3,1
STU1486,16,80,76,82,20.2,1
STU1487,21,45,56,52,4.5,1
STU1488,16,57,66,62,13.5,1
STU1489,17,71,71,66,17.7,1
STU1490,21,84,85,83,24.8,1
STU1491,20,72,67,64,16.1,1
STU1492,16,75,68,74,17.0,1
STU1493,21,41,34,60,5.3,0
STU1494,18,78,94,81,24.1,1
STU1495,16,28,50,52,4.5,0
STU1496,16,54,60,56,7.3,1
STU1497,18,58,61,63,13.3,1
STU1498,18,80,88,79,22.4,1
STU1499,20,69,71,60,15.2,1
STU1500,15,77,77,71,22.2,1
STU1501,21,80,81,74,21.0,1
STU1502,21,62,64,76,16.9,1
STU1503,18,59,65,56,11.5,1
STU1504,17,62,45,59,9.5,1
STU1505,20,65,67,55,10.8,1
STU1506,17,70,73,69,15.0,1
STU1507,17,84,75,78,18.8,1
STU1508,18,53,53,56,7.5,1
STU1509,19,62,52,50,8.4,1
STU1510,16,94,73,66,21.6,1
STU1511,19,78,91,72,17.2,1
STU1512,15,40,46,49,4.1,0
STU1513,17,59,60,54,12.8,1
STU1514,20,72,70,68,14.2,1
STU1515,19,87,88,82,24.9,1
STU1516,16,79,78,74,22.3,1
STU1517,20,80,82,66,21.5,1
STU1518,17,57,50,55,8.9,1
STU1519,15,91,79,70,21.1,1
STU1520,18,85,87,89,22.5,1
STU1521,17,72,65,66,15.0,1
STU1522,19,67,69,58,11.0,1
STU1523,18,51,52,50,4.0,1
STU1524,17,78,77,77,20.1,1
STU1525,21,59,50,56,9.5,1
STU1526,21,60,60,68,15.7,1
STU1527,19,79,72,73,19.4,1
STU1528,20,39,49,49,4.7,0
STU1529,16,95,80,85,23.7,1
STU1530,15,44,48,54,5.0,0
STU1531,21,73,71,81,17.9,1
STU1532,15,94,94,77,24.4,1
STU1533,20,71,73,61,19.6,1
STU1534,17,51,60,63,12.4,1
STU1535,15,62,62,57,11.3,1
STU1536,19,63,69,53,11.5,1
STU1537,19,54,52,68,11.9,1
STU1538,21,66,68,75,13.2,1
STU1539,18,57,54,61,9.5,1
STU1540,21,34,44,48,2.0,0
STU1541,20,72,84,76,22.2,1
STU1542,21,50,61,49,8.8,1
STU1543,18,75,70,64,16.4,1
STU1544,19,61,64,50,10.8,1
STU1545,18,96,80,79,21.8,1
STU1546,16,51,56,53,6.3,1
STU1547,19,68,90,68,15.3,1
STU1548,21,78,76,78,19.9,1
STU1549,17,80,61,75,16.1,1
STU1550,17,58,67,54,11.7,1
STU1551,16,71,68,60,15.2,1
STU1552,17,73,74,78,21.7,1
STU1553,20,43,58,52,7.4,1
STU1554,20,58,67,70,16.7,1
STU1555,16,62,55,61,12.7,1
STU1556,19,81,73,80,22.0,1
STU1557,17,73,77,66,20.5,1
STU1558,21,42,45,62,6.5,0
STU1559,15,61,56,62,11.5,1
STU1560,19,78,61,76,17.1,1
STU1561,16,87,77,92,22.6,1
STU1562,17,85,81,75,19.7,1
STU1563,15,56,66,59,10.8,1
STU1564,16,62,62,68,16.0,1
STU1565,18,40,43,45,2.4,0
STU1566,15,75,62,75,13.9,1
STU1567,19,46,56,53,7.2,1
STU1568,15,81,63,74,16.5,1
STU1569,16,63,66,65,14.8,1
STU1570,15,55,52,54,6.4,1
STU1571,19,79,79,77,24.2,1
STU1572,20,71,77,78,17.3,1
STU1573,15,76,86,65,18.9,1
STU1574,15,40,56,46,6.0,0
STU1575,21,69,80,70,20.8,1
STU1576,21,92,99,80,24.6,1
STU1577,15,56,54,51,8.3,1
STU1578,16,55,48,48,4.3,1
STU1579,20,61,75,63,15.7,1
STU1580,17,48,67,59,14.0,1
STU1581,15,76,62,62,16.4,1
STU1582,21,89,88,86,24.7,1
STU1583,16,68,64,69,17.4,1
STU1584,16,77,65,64,18.6,1
STU1585,17,45,43,48,7.2,0
STU1586,16,85,70,74,23.3,1
STU1587,20,65,68,69,15.1,1
STU1588,17,79,71,45,15.9,1
STU1589,19,62,58,59,12.9,1
STU1590,16,85,83,75,22.5,1
STU1591,15,54,64,61,11.8,1
STU1592,21,33,46,47,2.3,0
STU1593,20,64,73,52,12.6,1
STU1594,16,76,88,71,20.2,1
STU1595,18,83,77,76,19.3,1
STU1596,17,95,69,73,18.9,1
STU1597,16,77,75,65,16.9,1
STU1598,20,76,67,61,13.0,1
STU1599,20,52,61,66,11.7,1
STU1600,19,74,79,75,17.6,1
STU1601,15,53,56,58,11.0,1
STU1602,16,59,71,59,12.9,1
STU1603,20,67,84,67,16.9,1
STU1604,16,73,78,65,22.7,1
STU1605,16,56,70,60,10.1,1
STU1606,16,44,38,46,4.7,0
STU1607,16,67,69,72,14.3,1
STU1608,20,83,75,74,22.9,1
STU1609,21,48,54,55,7.1,1
STU1610,21,51,47,52,8.4,1
STU1611,19,61,65,57,13.8,1
STU1612,17,93,75,86,24.5,1
STU1613,18,47,44,54,5.2,0
STU1614,18,68,70,72,16.7,1
STU1615,21,59,55,59,10.8,1
STU1616,15,40,52,54,5.5,0
STU1617,16,67,59,68,13.3,1
STU1618,19,52,57,62,12.0,1
STU1619,18,78,78,81,22.2,1
STU1620,17,55,48,62,8.7,1
STU1621,16,70,73,57,14.5,1
STU1622,21,40,54,47,5.3,0
STU1623,21,61,59,54,6.3,1
STU1624,21,68,71,75,20.5,1
STU1625,18,89,77,72,22.5,1
STU1626,16,60,55,46,6.8,1
STU1627,18,41,40,59,3.0,0
STU1628,19,55,51,60,6.7,1
STU1629,16,91,81,86,21.7,1
STU1630,19,45,62,49,7.0,1
STU1631,20,66,66,61,12.9,1
STU1632,18,55,49,49,4.6,1
STU1633,17,71,68,58,12.5,1
STU1634,21,88,81,74,20.5,1
STU1635,15,43,57,55,5.3,1
STU1636,20,82,72,72,19.6,1
STU1637,18,38,50,57,4.5,0
STU1638,20,49,65,58,9.5,1
STU1639,18,53,48,61,6.6,1
STU1640,21,31,43,46,2.7,0
STU1641,15,57,56,52,6.1,1
STU1642,18,49,70,64,13.2,1
STU1643,21,40,52,59,5.6,1
STU1644,17,61,63,52,9.4,1
STU1645,17,53,57,54,11.5,1
STU1646,15,72,69,66,12.6,1
STU1647,17,55,63,62,10.7,1
STU1648,19,82,70,77,20.7,1
STU1649,17,51,34,44,3.1,0
STU1650,15,68,66,71,15.0,1
STU1651,17,61,60,60,12.0,1
STU1652,16,87,75,84,22.3,1
STU1653,18,61,49,56,8.2,1
STU1654,20,69,62,65,17.8,1
STU1655,18,49,57,53,8.1,1
STU1656,15,59,55,56,7.6,1
STU1657,16,47,57,65,8.3,1
STU1658,15,70,79,77,21.8,1
STU1659,21,77,72,75,18.7,1
STU1660,19,91,81,67,19.0,1
STU1661,17,54,62,67,12.1,1
STU1662,18,59,67,62,12.9,1
STU1663,17,52,48,49,2.5,0
STU1664,20,61,46,57,10.3,1
STU1665,21,60,70,63,19.4,1
STU1666,20,59,73,70,11.3,1
STU1667,19,39,47,56,3.5,0
STU1668,20,79,65,70,16.8,1
STU1669,15,34,56,43,4.5,0
STU1670,18,75,81,82,20.2,1
STU1671,21,45,54,63,8.5,1
STU1672,15,100,87,76,23.8,1
STU1673,17,47,51,52,5.4,1
STU1674,16,44,45,52,6.4,0
STU1675,16,40,47,42,2.7,0
STU1676,21,63,65,60,9.4,1
STU1677,15,67,71,74,14.8,1
STU1678,21,33,42,50,3.0,0
STU1679,17,47,50,56,5.9,1
STU1680,17,51,45,56,4.7,1
STU1681,18,87,68,68,19.6,1
STU1682,18,56,59,73,12.5,1
STU1683,21,64,56,55,8.3,1
STU1684,21,57,59,62,13.5,1
STU1685,18,84,73,75,21.1,1
STU1686,15,66,84,74,20.4,1
STU1687,17,37,53,53,6.1,0
STU1688,21,98,82,76,23.2,1
STU1689,18,83,79,83,22.4,1
STU1690,18,61,76,75,16.5,1
STU1691,20,61,74,61,14.1,1
STU1692,17,82,79,78,21.4,1
STU1693,17,61,57,56,10.2,1
STU1694,17,67,71,63,15.5,1
STU1695,20,80,86,78,24.6,1
STU1696,20,81,64,69,13.0,1
STU1697,20,99,88,71,24.2,1
STU1698,16,70,75,65,16.9,1
STU1699,18,65,62,60,11.7,1
STU1700,17,84,70,62,15.1,1
STU1701,18,61,66,75,13.8,1
STU1702,15,72,62,62,13.4,1
STU1703,16,84,66,69,15.5,1
STU1704,18,89,95,82,21.2,1
STU1705,17,64,70,69,17.9,1
STU1706,18,52,55,53,9.0,1
STU1707,17,100,93,87,24.9,1
STU1708,15,84,71,74,18.2,1
STU1709,15,93,75,74,20.9,1
STU1710,15,38,45,52,5.5,0
STU1711,16,37,43,49,4.0,0
STU1712,21,72,60,65,11.9,1
STU1713,15,52,62,55,3.9,1
STU1714,19,80,100,81,24.4,1
STU1715,17,34,43,49,2.2,0
STU1716,20,51,69,62,12.2,1
STU1717,20,73,77,74,19.0,1
STU1718,15,85,87,75,22.5,1
STU1719,20,38,44,51,3.4,0
STU1720,17,59,58,68,15.2,1
STU1721,20,78,66,75,17.3,1
STU1722,16,75,70,75,18.4,1
STU1723,15,45,42,48,5.4,0
STU1724,15,58,60,55,10.5,1
STU1725,18,94,80,79,24.9,1
STU1726,20,66,65,57,13.8,1
STU1727,15,68,70,62,15.8,1
STU1728,17,53,48,61,9.0,1
STU1729,21,76,75,65,19.0,1
STU1730,21,76,69,63,15.9,1
STU1731,17,48,36,49,4.1,0
STU1732,20,92,95,79,22.5,1
